제목,내용
"뉴로클, 딥러닝 비전 소프트웨어 '뉴로티&뉴로알' 2.1 버전 출시", 뉴로클(대표 이홍석)이 딥러닝 비전 소프트웨어 뉴로티&뉴로알(Neuro-T&Neuro-R)의 업그레이드 버전인 2.1버전을 새롭게 출시했다고 12월 16일 밝혔다. 뉴로티(Neuro-T)는 이미지 해석용 딥러닝 모델을 생성할 수 있는... 
"SK텔레콤, 'SKT AI 펠로우십' 5기 모집...현장형 AI 인재 육성", 성균관대학교 인공지능학과 학생들로 구성된 팀은 딥러닝 기술로 이미지의 시대적 배경과 상황을 고려해 AI가 흑백 이미지에 자동으로 채색하는 기술 개발에 참여했다. SK텔레콤은 이 기술을 활용해 문체부가... 
㈜사라다 ‘딥러닝 교통영상감시 시스템’ 정부 혁신시제품 선정, 부산조달청은 5일 부산 소재 기업 ㈜사라다가 개발한 ‘딥러닝 기반 교통영상감시스템’을 올해 제1차 혁신시제품에 선정했다고 밝혔다. ㈜사라다 딥러닝 기반의 교통 영상감시시스템은 딥러닝 기술을 교통 분야에... 
"휴먼딥, 딥러닝 기반의 패혈증 환자 상태 예측 시스템 개발"," 이번 사업을 통해 선보인 시스템은 패혈증 환자 상태 예측 시스템으로, 병실 모니터링 데이터 기반 딥러닝을 활용했다. 관계자는 ""실시간으로 수집되는 환자의 생체 데이터를 딥러닝을 통해 학습하고, 시스템이 환자... "
"에이디링크, 엣지 AI 추론 위한 딥러닝 가속 플랫폼 DLAP x86 시리즈 출시", 엣지 컴퓨팅 분야의 전문기업 에이디링크가 최신 DLAP x86 시리즈로 컴팩트한 GPU 기반 딥러닝 가속 플랫폼을 출시했다고 2월 3일 밝혔다. DLAP x86 시리즈는 데이터가 생성되고 운영되는 엣지에서 상당량의 딥러닝... 
"딥러닝, 지능의 외주화일까 인간 사고의 확장일까", 이번 8강에서는 남세동 보이저엑스 대표가 '딥러닝에 대한 직관적인 이해'에 대해 강연했다. 카오스재단 'AI... 4 딥러닝으로 엘니뇨 예측하기 5 컴퓨터 비전과 딥러닝의 현재와 미래 6 AI의 사고과정을 설명할 수 있을까? 7... 
"서울대 연구진, 'AI 딥러닝 기술' 적용 차세대 암 진단 지표 개발", 서울대 연구진이 인공지능(AI) 딥러닝 기술을 적용한 새로운 암 진단 지표를 발견했다. 서울대는 권성훈... 제공하는 딥러닝 기술을 개발했다고 20일 밝혔다. 최근 암 치료 방법으로 주목받는 면역 치료제는 암 조직... 
"뉴로클, 확장성·속도 강화한 딥러닝 비전 소프트웨어 2.1 버전 출시"," 뉴로클이 딥러닝 비전 소프트웨어 뉴로티&뉴로알의 업그레이드 버전인 2.1버전을 새롭게 출시했다. 뉴로티는 이미지 해석용 딥러닝 모델을 생성할 수 있는 딥러닝 비전 소프트웨어로, 사용자가 GUI 상에서 이미지... "
"SK텔레콤, 'SKT AI 펠로우십' 5기 모집...현장형 AI 인재 육성", 성균관대학교 인공지능학과 학생들로 구성된 팀은 딥러닝 기술로 이미지의 시대적 배경과 상황을 고려해 AI가 흑백 이미지에 자동으로 채색하는 기술 개발에 참여했다. SK텔레콤은 이 기술을 활용해 문체부가... 
㈜사라다 ‘딥러닝 교통영상감시 시스템’ 정부 혁신시제품 선정, 부산조달청은 5일 부산 소재 기업 ㈜사라다가 개발한 ‘딥러닝 기반 교통영상감시스템’을 올해 제1차 혁신시제품에 선정했다고 밝혔다. ㈜사라다 딥러닝 기반의 교통 영상감시시스템은 딥러닝 기술을 교통 분야에... 
"휴먼딥, 딥러닝 기반의 패혈증 환자 상태 예측 시스템 개발"," 이번 사업을 통해 선보인 시스템은 패혈증 환자 상태 예측 시스템으로, 병실 모니터링 데이터 기반 딥러닝을 활용했다. 관계자는 ""실시간으로 수집되는 환자의 생체 데이터를 딥러닝을 통해 학습하고, 시스템이 환자... "
"에이디링크, 엣지 AI 추론 위한 딥러닝 가속 플랫폼 DLAP x86 시리즈 출시", 엣지 컴퓨팅 분야의 전문기업 에이디링크가 최신 DLAP x86 시리즈로 컴팩트한 GPU 기반 딥러닝 가속 플랫폼을 출시했다고 2월 3일 밝혔다. DLAP x86 시리즈는 데이터가 생성되고 운영되는 엣지에서 상당량의 딥러닝... 
"딥러닝, 지능의 외주화일까 인간 사고의 확장일까", 이번 8강에서는 남세동 보이저엑스 대표가 '딥러닝에 대한 직관적인 이해'에 대해 강연했다. 카오스재단 'AI... 4 딥러닝으로 엘니뇨 예측하기 5 컴퓨터 비전과 딥러닝의 현재와 미래 6 AI의 사고과정을 설명할 수 있을까? 7... 
"서울대 연구진, 'AI 딥러닝 기술' 적용 차세대 암 진단 지표 개발", 서울대 연구진이 인공지능(AI) 딥러닝 기술을 적용한 새로운 암 진단 지표를 발견했다. 서울대는 권성훈... 제공하는 딥러닝 기술을 개발했다고 20일 밝혔다. 최근 암 치료 방법으로 주목받는 면역 치료제는 암 조직... 
"LG전자, 터치로 편리해진 '트롬 워시타워' 신제품 출시", 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다. 워시타워의 '건조준비' 기능은 세탁이 끝나면 바로... 
"우리은행, 딥러닝 기술 이용 AI뱅커 개발 나서", 우리은행은 딥러닝(Deep Learning) 기반 영상합성 기술 스타트업 라이언로켓과 AI뱅커 개발을 위한 업무협약을 체결했다고 16일 밝혔다. AI뱅커는 딥러닝 기술을 기반으로 영상과 음성의 합성을 통해 특정 인물의 외모... 
딥러닝으로 유방암 진단 오류 줄였다, 딥러닝(deep learning) 기반 컴퓨터 소프트웨어로 유방암 위양성 진단을 획기적으로 줄이는 기술이 개발됐다.... 초음파 검사에서 발견되는 다양한 유방 종양의 형태학적 데이터를 딥러닝 기술로 프로그램에 학습시켰다.... 
"딥러닝 엔드포인트 보안업체 ‘딥인스팅크트’, 파고네트웍스와 손잡고 한국 ...", 미국 뉴욕에 본사를 둔 딥러닝 기반 사이버보안 기술 회사인 딥인스팅크트(Deep Instinct)가 한국 시장에... 파고네트웍스는 딥인스팅크트의 딥러닝 엔드포인트 보안 솔루션을 지속적으로 고도화해 나가고 있는 파고... 
"딥인스팅크트, 한국 총판에 '파고네트웍스' 공식 지정...딥러닝 엔드포인트 시..."," 사이버 공격을 예측, 식별 및 방지하기 위해 엔드-투-엔드 딥러닝을 적용한 사이버 보안 회사인... 파고네트웍스는 딥인스팅크트의 딥러닝 엔드포인트 보안 솔루션을 지속적으로 고도화해 나가고 있는 PAGO DeepACT... "
코로나 AI 진단툴 나오나…빅데이터 영상 딥러닝 돌입, 의학회의 주도로 전국 코로나 환자들의 영상 자료를 모아 딥러닝 알고리즘을 마련하고 나선 것. 이를 통해... 나아가 학회는 계속해서 추가되는 자료들을 딥러닝 알고리즘 형식으로 빅데이터 분석을 진행해 인공지능... 
"""이건희회장, 딥러닝 알았다면 반도체투자 더했을것"""," 취임1돌 이용훈 유니스트 총장 딥러닝으로 반도체 수요 폭증 ""향후 30년 반도체와 인공지능 한국 먹여살릴 캐시카우될것"" 올 정부 지원 AI대학원에 선정 내년 반도체소재대학원도 개원 ""고 이건희 회장이 딥러닝을... "
"코그넥스, 일본 주택 건설사 ‘세키스이 하우스’의 제품 결함 검사 자동화 위...", 산업용 머신비전 분야 글로벌 기업 코그넥스는 일본 주택 건설사인 세키스이 하우스의 제품 결함 검사 자동화를 위해 딥러닝 소프트웨어 '비전프로 딥러닝(VisionPro Deep Learning)'에 라인 스캔 카메라와 LED 조명을 결합한... 
"큐앤에이소프트, 딥러닝 기반 주식 매매 프로그램 '큐아이' 출시", 딥러닝 전문 소프트웨어 기업 큐앤에이소프트는 21일 개인 투자자들을 위한 인공지능(AI) 주식 자동매매... 큐아이는 퀀트 기반 알고리즘에서 머신러닝과 딥러닝 기반의 소프트웨어 엔진을 탑재해 주식을 자동으로... 
"폴라리스오피스, AI 오피스 활용 늘린다...바이브온과 협약 체결", 축적된 데이터와 딥러닝 기술로 학생들의 입시 준비와 교사들의 진학 상담에 효율적인 활용이 가능하다. 최근 AI 전문기업인 솔트룩스와 KT인베스트먼트로부터 기술력을 인정받아 투자를 유치했다. 이번 협약을 통해 두... 
"LG전자, 일체형으로 조작 편리한 'LG 트롬 워시타워' 신제품 출시", 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다.워시타워의 ‘건조준비’ 기능은 세탁이 끝나면... 
[신문과 놀자!/눈이 커지는 수학]스스로 학습하는 ‘딥러닝’에도 수학 공식이..., ○ 스스로 학습하는 딥러닝 이 가운데 인공지능은 최근 정보기술(IT) 업계의 큰 이슈입니다. 인공지능에 이용하는 대표적인 이론이 ‘딥러닝(Deep Learning)’입니다. 컴퓨터와 수학의 세계에서 사물의 모양을 인식하는... 
"경운대, 국내 최초 '시설물 변형·붕괴 모니터링 센서 딥러닝 체계' 개발", 붕괴 모니터링 센서용 딥러닝 체계'를 개발했다고 7일 밝혔다. 경운대 재난안전연구센터는 2018년부터... 이용한 딥러닝 작업이 필수적이다. 이번에 재난안전연구센터에서 개발한 장치로 경사.진동.침하 등 여러 거동을... 
"폴라리스오피스, AI 오피스 활용 늘린다...바이브온과 협약 체결", 축적된 데이터와 딥러닝 기술로 학생들의 입시 준비와 교사들의 진학 상담에 효율적인 활용이 가능하다. 최근 AI 전문기업인 솔트룩스와 KT인베스트먼트로부터 기술력을 인정받아 투자를 유치했다. 이번 협약을 통해 두... 
"LG전자, 일체형으로 조작 편리한 'LG 트롬 워시타워' 신제품 출시", 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다.워시타워의 ‘건조준비’ 기능은 세탁이 끝나면... 
[신문과 놀자!/눈이 커지는 수학]스스로 학습하는 ‘딥러닝’에도 수학 공식이..., ○ 스스로 학습하는 딥러닝 이 가운데 인공지능은 최근 정보기술(IT) 업계의 큰 이슈입니다. 인공지능에 이용하는 대표적인 이론이 ‘딥러닝(Deep Learning)’입니다. 컴퓨터와 수학의 세계에서 사물의 모양을 인식하는... 
"경운대, 국내 최초 '시설물 변형·붕괴 모니터링 센서 딥러닝 체계' 개발", 붕괴 모니터링 센서용 딥러닝 체계'를 개발했다고 7일 밝혔다. 경운대 재난안전연구센터는 2018년부터... 이용한 딥러닝 작업이 필수적이다. 이번에 재난안전연구센터에서 개발한 장치로 경사.진동.침하 등 여러 거동을... 
"뉴로클, 'Auto 딥러닝' 기술로 비전검사 비용 낮추고 빠른 적용 가능", 최근에는 기술의 발달로 딥러닝을 적용해 비전검사를 하는 솔루션과 기업이 늘고 있다. 하지만 이를 도입했거나 도입을 고려하고 있는 기업들은 △정확한 데이터 관리의 어려움 △딥러닝 연구원 및 고급 개발자 등... 
머지않아 일상이 될 AI·딥러닝···팬데믹 이후 당신의 삶 엿보다," 극단 이와삼(장우재 작·연출)의 2인극 ‘싯팅인어룸’은 팬데믹·딥러닝·디지털 장례 같은 지금 우리 사회의... (AI)과 딥러닝, 그리고 벌인 일을 극복하기 위해 또 다른 일을 벌이는 인간 존재까지. 이 시대와 맞닿은... "
"[2020부울경스마트팩토리] 뉴로클, 딥러닝 비전 소프트웨어 '뉴로티', '뉴로알..."," 2020)'에서 딥러닝 비전 소프트웨어 '뉴로티', '뉴로알'을 선보였다. 비전문가 사용자 친화적 강점을 지닌 '오토 딥러닝 알고리즘'은 뉴로클에서 개발한 고유 알고리즘으로 딥러닝 모델 생성을 위한 모델 설계 및... "
연세대 유기준-황도식-강홍구 교수팀 피부 부착형 스트레인 게이지/딥러닝 기..., 연세대는 전기전자공학과 유기준/황도식/강홍구 교수 연구팀이 세계 최초로 단결정 실리콘 기반 고성능 피부 부착형 스트레인 게이지와 딥러닝 기반 스트레인-단어 변환 알고리즘을 결합해 전례 없이 많은 단어를 높은... 
"스캐터랩, ‘이루다’ DB·딥러닝 모델 전량 폐기… “이용자 불안감 고려”", 인공지능(AI) 챗봇 ‘이루다’ 개발사 스캐터랩이 '이루다' 학습에 사용된 딥러닝 대화 모델과 관련... 해당 데이터는 모두 삭제하고 딥러닝 대화 모델에서도 제외된다. 스캐터랩 측에 따르면 이루다 DB는 비식별화 조치를... 
"인공지능 챗봇 '이루다' 개발사 ""데이터베이스·딥러닝 모델 폐기하겠다""", 즉 딥러닝 모델을 폐기하기로 했습니다. 스캐터랩은 개인정보보호위원회와 한국인터넷진흥원의 합동 조사가 종료되는 즉시 이루다 데이터베이스와 자동 학습에 사용된 딥러닝 대화 모델을 폐기하기로 했다고 밝혔습니다.... 
"인공지능 챗봇 '이루다' 개발사 ""데이터베이스·딥러닝 모델 폐기하겠다""", 즉 딥러닝 모델을 폐기하기로 했습니다. 스캐터랩은 개인정보보호위원회와 한국인터넷진흥원의 합동 조사가 종료되는 즉시 이루다 데이터베이스와 자동 학습에 사용된 딥러닝 대화 모델을 폐기하기로 했다고 밝혔습니다.... 
"편의성과 디자인 심플, 'LG 트롬 워시타워' 신제품 출시", 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다. 워시타워의 '건조준비' 기능은 세탁이 끝나면... 
뇌동맥류 발견해 조기예방 도와주는 딥러닝 등장, 초기 보고서에서 동맥류가 누락됐었지만 딥러닝 알고리즘으로 성공적으로 감지됐다. 중국 상해에 위치한 동제대 의과대학 연구원들이 CT 촬영 시 뇌동맥을 발견하는 데 도움을 주는 딥러닝 알고리즘을 개발했다고... 
"고대안산병원, 딥러닝 흉부엑스레이 코로나 진단 보조기술 개발"," 대상으로 딥러닝기반 분석기술을 이용해 코로나19 여부를 진단하는 알고리즘을 자체 개발했다. 특히... 구분하는 딥러닝 알고리즘 모델로, 코로나19와 단순 폐렴을 구분하여 호흡기 환자의 원인 분석에 있어 유용성을... "
"[ZOOM IN] 코그넥스, 패키징 검사 자동화 위한 딥러닝 기반 머신비전 솔루션 ...", 사용되는 딥러닝 기반 머신비전 솔루션 '인사이트(In-Sight) 비전 시스템'과 이미지 기반 바코드 리더기의 활용... 이에 코그넥스는 딥러닝 기반 머신비전 솔루션으로 제조에 더 높은 수준의 자동화 기술을 통합해 기업이... 
"고려대 안산병원 이기선 교수 연구팀, 설명 가능한 딥러닝 기반 흉부엑스레이..."," 대상으로 딥러닝 기반 분석기술을 이용해 코로나19 여부를 진단하는 알고리즘을 자체 개발했다.... 구분하는 딥러닝 알고리즘 모델로, 코로나19와 다른 원인의 폐렴을 구분하여 호흡기 환자의 원인 분석에... "
"코그넥스, 컬러 이미징 탑재한 딥러닝 기반 산업용 스마트 카메라 출시", 최초 딥러닝 기반 산업용 스마트 카메라 '인사이트(In-Sight) D900 Color'를 출시한다고 밝혔다. ▲인사이트D900C 인사이트(In-Sight) D900C는 산업용 등급을 갖춘 스마트 카메라인 인사이트(In-Sight)에 딥러닝 기반 이미지 분석... 
"딥러닝과 기후 변화의 융합 연구, 판은 깔렸다", 위한 딥러닝 모형을 학습 시키기에 현재까지 확보된 관측 자료의 수는 턱없이 부족하다. 최근 인공 위성을... 지구 온난화에 딥러닝이 적용될 수 있을까? 함유근 교수는 변화 시점 탐지 기법으로 가능할 수 있다고... 
"KT-AI원팀, 딥러닝 음성합성 등 4개 기술 개발 성공"," 딥러닝 음성합성(P-TTS), E2E 음성인식, 무빙 픽처(Moving Picture), AI 기반 로봇 고장 진단 기술 등 4개로 4개... 딥러닝 음성합성(P-TTS, Personalized-Text To Speech) 기술은 KT와 KAIST 김회린 교수가 협력해 개발한 기술이며... "
"동해시, 딥러닝 영상기반, 적설·제설 관제시스템 구축"," 동해시는 딥러닝 영상기반, 적설·제설 관제시스템 구축에 나선다. 7일 동해시에 따르면 이번 사업은 총사업비 8억원을 전액 국비로 지원받아, ‘딥러닝 영상기반의 적설·제설 관제시스템 구축’ 사업이다 고 밝혔다.... "
"코그넥스, 컬러 이미징 탑재한 딥러닝 기반 산업용 스마트 카메라 출시", 최초 딥러닝 기반 산업용 스마트 카메라 '인사이트(In-Sight) D900 Color'를 출시한다고 밝혔다. ▲인사이트D900C 인사이트(In-Sight) D900C는 산업용 등급을 갖춘 스마트 카메라인 인사이트(In-Sight)에 딥러닝 기반 이미지 분석... 
"딥러닝과 기후 변화의 융합 연구, 판은 깔렸다", 위한 딥러닝 모형을 학습 시키기에 현재까지 확보된 관측 자료의 수는 턱없이 부족하다. 최근 인공 위성을... 지구 온난화에 딥러닝이 적용될 수 있을까? 함유근 교수는 변화 시점 탐지 기법으로 가능할 수 있다고... 
"KT-AI원팀, 딥러닝 음성합성 등 4개 기술 개발 성공"," 딥러닝 음성합성(P-TTS), E2E 음성인식, 무빙 픽처(Moving Picture), AI 기반 로봇 고장 진단 기술 등 4개로 4개... 딥러닝 음성합성(P-TTS, Personalized-Text To Speech) 기술은 KT와 KAIST 김회린 교수가 협력해 개발한 기술이며... "
"동해시, 딥러닝 영상기반, 적설·제설 관제시스템 구축"," 동해시는 딥러닝 영상기반, 적설·제설 관제시스템 구축에 나선다. 7일 동해시에 따르면 이번 사업은 총사업비 8억원을 전액 국비로 지원받아, ‘딥러닝 영상기반의 적설·제설 관제시스템 구축’ 사업이다 고 밝혔다.... "
"김준환 스트라드비젼 대표 ""딥러닝·반도체 최적화 분야, 세계최고 자부"""," ""딥러닝과 반도체 최적화 분야에선 세계 최고라고 자부합니다."" 김준환 스트라드비젼 대표가 ""미국서 AI 관련 특허를 167개 등록했고 다른 국가 특허까지 합치면 모두 400개 이상 특허를 현재 보유하고 있다""며 이같이... "
"코그넥스, 딥러닝 기반 산업용 스마트 카메라 ‘인사이트 D900 컬러’ 출시", 탑재한 딥러닝 기반 산업용 스마트 카메라 ‘인사이트(In-Sight) D900 컬러(이하 인사이트 D900C)’를 출시한다고 밝혔다. 코그넥스 인사이트 D900C는 산업용 등급을 갖춘 스마트 카메라인 인사이트에 딥러닝 기반 이미지 분석... 
"매스웍스 ""제조 등 산업분야서 딥러닝 모델 활용도 높아"""," 그 중 딥러닝 모델은 사람이 개입할 필요 없이 스스로 데이터를 학습할 수 있어 다양한 산업군에서 각광받고 있다. 실제로 딥러닝은 최근 공장설비 인식·유지 보수부터 결함 검출, 자동차의 전자제어장치(ECU) 제어 등을... "
"""더욱 편리해졌다"" LG전자, 차세대 '트롬 워시타워' 선봬", 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다. 워시타워의 '건조준비' 기능은 세탁이 끝나면... 
딥러닝으로 소재 합성 가능성 예측, KAIST 생명화학공학과 정유성 교수 연구팀이 딥러닝을 활용해 소재의 합성 가능성을 높은 정확도로 예측하는 기술을 개발했습니다. 해당 연구는 'Journal of the American Chemical Society'에 게재됐습니다. 딥러닝으로... 
"넷마블, 딥러닝 기반 모바일 음성 인식 기술 ‘NeurIPS 2020’에서 공개", 신경정보처리시스템학회)’에서 딥러닝 기반 모바일 음성 인식 기술을 선보일 예정이라고 4일... 넷마블은 이번 컨퍼런스 데모 세션에서 ‘딥러닝 기반 음성 인식기를 세계 최초로 모바일 게임에... 
"""더욱 편리해졌다"" LG전자, 차세대 '트롬 워시타워' 선봬", 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다. 워시타워의 '건조준비' 기능은 세탁이 끝나면... 
딥러닝으로 소재 합성 가능성 예측, KAIST 생명화학공학과 정유성 교수 연구팀이 딥러닝을 활용해 소재의 합성 가능성을 높은 정확도로 예측하는 기술을 개발했습니다. 해당 연구는 'Journal of the American Chemical Society'에 게재됐습니다. 딥러닝으로... 
"넷마블, 딥러닝 기반 모바일 음성 인식 기술 ‘NeurIPS 2020’에서 공개", 신경정보처리시스템학회)’에서 딥러닝 기반 모바일 음성 인식 기술을 선보일 예정이라고 4일... 넷마블은 이번 컨퍼런스 데모 세션에서 ‘딥러닝 기반 음성 인식기를 세계 최초로 모바일 게임에... 
"넷마블, 딥러닝 기반 모바일 음성 인식 기술 내달 'NeurIPS'서 공개", 신경정보처리시스템학회)'에서 딥러닝 기반 모바일 음성 인식 기술을 선보일 예정이라고 4일 밝혔다.... 넷마블은 이번 컨퍼런스 데모 세션에서 '딥러닝 기반 음성 인식기를 세계 최초로 모바일 게임에 탑재... 
"삼성 AI 2020엔 없는 제프리 힌튼 인터뷰 ""딥러닝으로 인간 이성 구현 가능할..."," 구루이자 딥러닝의 아버지로 불리고 있다. (사진=토론토대) ""30년 전엔 모두가 내 의견에 반대했습니다. 지금은 반대하는 사람을 찾기 힘드네요."" 인공지능 4대 구루이자 딥러닝의 아버지로 불리는 제프리 힌튼... "
'인공지능(AI)' 딥러닝으로 영아 눈떨림증후군 원인 찾는다," (AI) 딥러닝을 활용해 희귀 안질환 원인 분석에 나섰다. 연세대 강남세브란스병원(병원장 송영구) 안과 한진우, 이준원 교수팀은 희귀 안질환인 영아 눈떨림증후군의 원인을 분석하는 유전자 검사 기법에 AI 딥러닝을... "
"막강한 '엘니뇨' VS 정교한 딥러닝, 예측 싸움", 카오스재단 'AI 크로스' 강연 및 연재 순서 1 브레인 3.0 AI와 뇌공학이 바꿀 인류의 미래 2 수학을 통하여 세상을 3차원으로 보는 법 3 게놈데이터를 이용한 정밀의료 4 딥러닝으로 엘니뇨 예측하기 5 컴퓨터 비전과 딥러닝의... 
"라온피플 ‘NAVI AI 4.0 출시, 양품 딥러닝 비전검사로 불량검출 고도화", 라온피플(대표 이석중)이 양품 딥러닝 비전검사로 불량을 검출해내는 ‘NAVI AI 4.0’ 버전을 새롭게... 이번 NAVI AI 4.0을 개발한 추연학 이사는 “직관적인 UI 설정은 물론 관리자가 딥러닝에 대한 지식이... 
구글 딥러닝 총괄 '제프 딘'…아마존 AI 비서 탄생시킨 '프라사드'," 인간 두뇌의 신경망과 비슷하게 딥러닝 체계를 구성하고, 여기에다 유튜브에 올라온 동영상 데이터를 학습시키자 컴퓨터가 스스로 고양이의 얼굴 생김새 개념을 익혔다. 이때 나온 AI 신경망 모델은 이후 구글의 영상... "
딥러닝은 기후 예측의 새로운 돌파구가 될 수 있나?, 적용 -2) 딥러닝은 비선형 변환 기법의 조합을 통해 높은 수준의 추상화를 시도하는 기계 학습 알고리즘의... 딥러닝의 시초가 되는 인공신경망(Artificial Neural Network) 모델은 1950년대 후반에 처음 소개된 이후 전문가들에... 
"넷마블 딥러닝 기반 모바일 음성인식 기술, 'NeurIPS 2020'서 공개", 넷마블이 오는 12월 6일부터 캐나다 밴쿠버에서 개최되는 'NeurIPS(신경정보처리시스템학회) 2020'에서 딥러닝 기반 모바일 음성 인식 기술을 선보일 예정이다. 넷마블은 이번 컨퍼런스 데모 세션에서 '딥러닝 기반... 
"삼성 AI 2020엔 없는 제프리 힌튼 인터뷰 ""딥러닝으로 인간 이성 구현 가능할..."," 구루이자 딥러닝의 아버지로 불리고 있다. (사진=토론토대) ""30년 전엔 모두가 내 의견에 반대했습니다. 지금은 반대하는 사람을 찾기 힘드네요."" 인공지능 4대 구루이자 딥러닝의 아버지로 불리는 제프리 힌튼... "
'인공지능(AI)' 딥러닝으로 영아 눈떨림증후군 원인 찾는다," (AI) 딥러닝을 활용해 희귀 안질환 원인 분석에 나섰다. 연세대 강남세브란스병원(병원장 송영구) 안과 한진우, 이준원 교수팀은 희귀 안질환인 영아 눈떨림증후군의 원인을 분석하는 유전자 검사 기법에 AI 딥러닝을... "
"막강한 '엘니뇨' VS 정교한 딥러닝, 예측 싸움", 카오스재단 'AI 크로스' 강연 및 연재 순서 1 브레인 3.0 AI와 뇌공학이 바꿀 인류의 미래 2 수학을 통하여 세상을 3차원으로 보는 법 3 게놈데이터를 이용한 정밀의료 4 딥러닝으로 엘니뇨 예측하기 5 컴퓨터 비전과 딥러닝의... 
"라온피플 ‘NAVI AI 4.0 출시, 양품 딥러닝 비전검사로 불량검출 고도화", 라온피플(대표 이석중)이 양품 딥러닝 비전검사로 불량을 검출해내는 ‘NAVI AI 4.0’ 버전을 새롭게... 이번 NAVI AI 4.0을 개발한 추연학 이사는 “직관적인 UI 설정은 물론 관리자가 딥러닝에 대한 지식이... 
구글 딥러닝 총괄 '제프 딘'…아마존 AI 비서 탄생시킨 '프라사드'," 인간 두뇌의 신경망과 비슷하게 딥러닝 체계를 구성하고, 여기에다 유튜브에 올라온 동영상 데이터를 학습시키자 컴퓨터가 스스로 고양이의 얼굴 생김새 개념을 익혔다. 이때 나온 AI 신경망 모델은 이후 구글의 영상... "
딥러닝은 기후 예측의 새로운 돌파구가 될 수 있나?, 적용 -2) 딥러닝은 비선형 변환 기법의 조합을 통해 높은 수준의 추상화를 시도하는 기계 학습 알고리즘의... 딥러닝의 시초가 되는 인공신경망(Artificial Neural Network) 모델은 1950년대 후반에 처음 소개된 이후 전문가들에... 
"블루닷, 딥러닝 기반 비디오 업스케일러 반도체 IP 국제인공지능대전에서 선보...", 딥러닝 기반의 비디오 업스케일러 반도체 IP 블루닷(대표 전민용)은 2021년 3월 24일부터 26일까지... DeepField-SR은 딥러닝 기반의 비디오 업스케일러 반도체 IP이다. 온프레미스 그리고 클라우드 컴퓨팅용 FPGA... 
'딥러닝 대부' 이끌고 민관은 밀고…매년 AI 박사만 600명 나오는 토론토, 2012년 딥러닝의 대부인 제프리 힌턴 토론토대 명예교수 연구팀이 세계 최대 이미지 인식 대회 ILSVRC(Imagenet Large Scale Visual Recognition Challenge)에서 당시만 해도 통용되지 않던 딥러닝 알고리즘을 통해 이미지 인식률을 10... 
생성형 AI로 몰입도 '쑥' 게임사 앞다퉈 기술개발," 게임업계 최초로 AI 전담 조직을 세운 엔씨소프트는 최근 AI센터, NLP센터, 어플라이드 AI랩 등을 통합해 'NC AI R&D'로 일원화했다. 넷마블과 크래프톤도 각각 AI센터와 딥러닝 본부를 운영하며 다양한 연구를 진행하고 있다. "
'인공지능(AI)' 딥러닝으로 영아 눈떨림증후군 원인 찾는다," (AI) 딥러닝을 활용해 희귀 안질환 원인 분석에 나섰다. 연세대 강남세브란스병원(병원장 송영구) 안과 한진우, 이준원 교수팀은 희귀 안질환인 영아 눈떨림증후군의 원인을 분석하는 유전자 검사 기법에 AI 딥러닝을... "
"막강한 '엘니뇨' VS 정교한 딥러닝, 예측 싸움", 카오스재단 'AI 크로스' 강연 및 연재 순서 1 브레인 3.0 AI와 뇌공학이 바꿀 인류의 미래 2 수학을 통하여 세상을 3차원으로 보는 법 3 게놈데이터를 이용한 정밀의료 4 딥러닝으로 엘니뇨 예측하기 5 컴퓨터 비전과 딥러닝의... 
"라온피플 ‘NAVI AI 4.0 출시, 양품 딥러닝 비전검사로 불량검출 고도화", 라온피플(대표 이석중)이 양품 딥러닝 비전검사로 불량을 검출해내는 ‘NAVI AI 4.0’ 버전을 새롭게... 이번 NAVI AI 4.0을 개발한 추연학 이사는 “직관적인 UI 설정은 물론 관리자가 딥러닝에 대한 지식이... 
구글 딥러닝 총괄 '제프 딘'…아마존 AI 비서 탄생시킨 '프라사드'," 인간 두뇌의 신경망과 비슷하게 딥러닝 체계를 구성하고, 여기에다 유튜브에 올라온 동영상 데이터를 학습시키자 컴퓨터가 스스로 고양이의 얼굴 생김새 개념을 익혔다. 이때 나온 AI 신경망 모델은 이후 구글의 영상... "
